time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-08T03:03:26.940Z,-17.0372,-173.7713,134.1,4.3,mb,,123,3.654,0.7,us,us6000h2y3,2022-03-09T00:56:17.040Z,"119 km S of Hihifo, Tonga",earthquake,7.2,5.6,0.058,84,reviewed,us,us
2022-03-08T01:59:00.502Z,70.6979,-14.097,10,4,mb,,61,2.632,0.83,us,us6000h2xw,2022-03-08T02:12:21.040Z,"198 km W of Olonkinbyen, Svalbard and Jan Mayen",earthquake,7.7,1.9,0.164,10,reviewed,us,us
2022-03-08T01:48:08.439Z,50.3334,90.4398,10,4.1,mb,,121,5.008,0.41,us,us6000h2xt,2022-03-09T02:25:13.040Z,"5 km S of Mugur-Aksy, Russia",earthquake,9.3,2,0.174,9,reviewed,us,us
2022-03-08T01:13:56.920Z,38.2285,-119.0768333,14.37,2.82,md,61,48,0.06561,0.2,nc,nc73702626,2022-03-08T11:53:18.086Z,"6km WNW of Bodie, CA",earthquake,0.24,1.15,0.237,62,reviewed,nc,nc
2022-03-08T00:24:21.266Z,-21.8783,-178.6557,561.39,4.5,mb,,133,5.148,0.89,us,us6000h2xh,2022-03-08T00:39:38.040Z,Fiji region,earthquake,8.3,10.2,0.139,15,reviewed,us,us
2022-03-08T00:10:22.315Z,59.8872,-153.4697,129.9,2.5,ml,,,,0.62,ak,ak02232t2fyg,2022-03-08T00:25:17.040Z,"37 km ENE of Pedro Bay, Alaska",earthquake,,0.7,,,automatic,ak,ak
2022-03-07T23:37:04.519Z,70.6625,-13.8863,10,4.4,mb,,52,2.702,0.77,us,us6000h2x3,2022-03-07T23:58:54.040Z,"191 km W of Olonkinbyen, Svalbard and Jan Mayen",earthquake,4,1.9,0.118,21,reviewed,us,us
2022-03-07T23:30:29.408Z,27.2084,53.2823,10,4.7,mb,,79,3.461,0.79,us,us6000h2x1,2022-03-07T23:54:19.040Z,"55 km SE of Mohr, Iran",earthquake,5.9,1.6,0.055,103,reviewed,us,us
2022-03-07T23:25:40.216Z,-59.0894,-25.6976,35,5.1,mb,,47,7.644,0.74,us,us6000h2wz,2022-03-07T23:45:54.040Z,South Sandwich Islands region,earthquake,6.2,1.9,0.061,88,reviewed,us,us
2022-03-07T22:44:53.991Z,54.5198,-159.7597,10.39,3.2,ml,,268,0.928,0.38,us,us6000h2wx,2022-03-07T23:40:24.040Z,"102 km SSE of Sand Point, Alaska",earthquake,3.3,8.5,0.081,20,reviewed,us,us
2022-03-07T22:13:29.743Z,-30.0916,-177.8991,35,5.2,mb,,190,0.827,0.96,us,us6000h2wp,2022-03-07T23:10:59.040Z,"Kermadec Islands, New Zealand",earthquake,10.3,1.8,0.099,34,reviewed,us,us
2022-03-07T21:40:52.033Z,51.7412,-176.762,71.81,4.2,mb,,192,0.149,0.78,us,us6000h2w3,2022-03-07T23:03:59.728Z,"17 km SSW of Adak, Alaska",earthquake,9.3,5.9,0.069,58,reviewed,us,us
2022-03-07T21:30:36.261Z,51.1878,-176.6322,39.43,4,mb,,200,0.696,0.98,us,us6000h2w4,2022-03-07T23:10:06.743Z,"76 km S of Adak, Alaska",earthquake,6.8,7.6,0.069,57,reviewed,us,us
2022-03-07T20:18:32.449Z,44.1203,-128.835,10,3.3,ml,,224,1.816,0.47,us,us6000h2vb,2022-03-08T05:14:57.961Z,off the coast of Oregon,earthquake,10.7,2,0.055,44,reviewed,us,us
2022-03-07T20:05:51.110Z,52.07916667,178.3565,-2.66,2.87,ml,9,312,,0.06,av,av91506201,2022-03-08T02:00:32.310Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,1.68,1.68,0.183894637,9,reviewed,av,av
2022-03-07T19:21:18.940Z,19.23866667,-155.3788333,32.33,3.18,ml,53,146,,0.12,hv,hv72941782,2022-03-08T19:23:12.295Z,"11 km ENE of P?hala, Hawaii",earthquake,0.46,0.44,0.152283925,39,reviewed,hv,hv
2022-03-07T19:08:09.103Z,-19.7471,133.8914,3.87,4.3,mb,,99,0.478,1.14,us,us6000h2v0,2022-03-07T20:23:36.040Z,"33 km WSW of Tennant Creek, Australia",earthquake,6.1,2.5,0.201,7,reviewed,us,us
2022-03-07T19:01:31.756Z,37.0717,143.177,10,4.4,mb,,231,4.021,1.06,us,us6000h2uz,2022-03-07T19:57:58.040Z,"198 km ESE of Namie, Japan",earthquake,14.5,2,0.161,11,reviewed,us,us
2022-03-07T18:34:29.003Z,6.8116,-73.0095,153.88,4.9,mb,,62,0.916,0.95,us,us6000h2un,2022-03-07T22:21:13.808Z,"7 km NNW of Cepitá, Colombia",earthquake,7.5,6.6,0.026,476,reviewed,us,us
2022-03-07T18:24:20.150Z,38.2331667,-119.074,9.89,2.81,md,51,49,0.0663,0.11,nc,nc73702521,2022-03-08T02:38:17.842Z,"6km WNW of Bodie, CA",earthquake,0.17,0.49,0.226,56,reviewed,nc,nc
2022-03-07T18:13:10.974Z,2.7495,125.7467,56.9,5.3,mww,,31,2.545,1.31,us,us6000h2u5,2022-03-07T21:59:10.812Z,"163 km NNE of Laikit, Laikit II (Dimembe), Indonesia",earthquake,8.6,4.5,0.089,12,reviewed,us,us
2022-03-07T18:05:54.920Z,24.1534,122.9961,77.63,4.6,mb,,98,0.312,0.6,us,us6000h2t9,2022-03-07T19:30:53.040Z,"34 km S of Yonakuni, Japan",earthquake,7.1,4.7,0.058,88,reviewed,us,us
2022-03-07T17:55:38.036Z,50.8878,-176.5921,10,3.9,mb,,209,0.963,0.62,us,us6000h2ur,2022-03-07T22:04:50.634Z,"109 km S of Adak, Alaska",earthquake,4.2,2,0.105,24,reviewed,us,us
2022-03-07T17:55:12.235Z,-35.9025,-102.8049,10,5.4,mww,,93,10.385,0.97,us,us6000h2sn,2022-03-08T17:58:17.852Z,southeast of Easter Island,earthquake,12.4,1.8,0.071,19,reviewed,us,us
2022-03-07T17:41:53.051Z,65.3005,-162.988,10,2.5,ml,,92,0.804,1.11,us,us6000h2sp,2022-03-07T18:35:29.040Z,"71 km NNE of White Mountain, Alaska",earthquake,4.4,2,0.063,33,reviewed,us,us
2022-03-07T17:25:26.894Z,18.8238,-74.1168,10,4.2,mb,,65,1.349,1.01,us,us6000h36l,2022-03-08T23:55:27.040Z,"19 km N of Jérémie, Haiti",earthquake,6.2,2,0.306,3,reviewed,us,us
2022-03-07T17:23:49.778Z,-5.9336,130.5771,132.38,4.9,mb,,47,2.158,0.76,us,us6000h2sf,2022-03-07T17:41:33.040Z,"243 km W of Tual, Indonesia",earthquake,8.4,7.8,0.071,63,reviewed,us,us
2022-03-07T17:09:44.229Z,48.4642,154.0845,82.75,4.5,mb,,162,5.183,0.71,us,us6000h2sk,2022-03-07T17:54:24.040Z,"286 km SSW of Severo-Kuril’sk, Russia",earthquake,11.1,8.3,0.064,72,reviewed,us,us
2022-03-07T17:08:55.343Z,18.8198,-74.1171,10,4.1,mb,,73,1.352,0.79,us,us6000h2sj,2022-03-07T18:12:17.040Z,"18 km N of Jérémie, Haiti",earthquake,4.1,2,0.368,2,reviewed,us,us
2022-03-07T16:58:48.843Z,37.5193,137.2732,4.61,4.8,mww,,88,1.224,0.6,us,us6000h2s5,2022-03-08T20:37:48.040Z,"near the west coast of Honshu, Japan",earthquake,5.9,4,0.066,22,reviewed,us,us
2022-03-07T16:56:57.284Z,32.42706299,-102.0785299,7.60542806,2.7,ml,10,68,0.235510541,0.1,tx,tx2022eqbg,2022-03-07T17:37:29.040Z,"35 km SSW of Los Ybanez, Texas",earthquake,0.891289715,2.823013663,0.2,6,reviewed,tx,tx
2022-03-07T16:54:36.600Z,18.94133333,-65.01333333,15.96,3.34,md,6,318,,0.24,pr,pr71339393,2022-03-07T17:35:06.040Z,"66 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,8.66,17.05,0.054064231,3,reviewed,pr,pr
2022-03-07T16:22:42.900Z,38.2258333,-119.08,8.97,3.54,mw,41,48,0.06648,0.16,nc,nc73702486,2022-03-09T21:03:21.783Z,"6km WNW of Bodie, CA",earthquake,0.27,0.83,,3,reviewed,nc,nc
2022-03-07T15:20:34.550Z,19.23216667,-155.368,32.76,2.69,ml,51,154,,0.12,hv,hv72941532,2022-03-08T16:06:30.040Z,"12 km ENE of P?hala, Hawaii",earthquake,0.56,0.61,0.175088175,33,reviewed,hv,hv
2022-03-07T14:35:28.233Z,37.7354,101.4456,10,4.8,mb,,53,10.725,0.39,us,us6000h2r6,2022-03-07T15:16:56.040Z,"106 km WSW of Wuwei, China",earthquake,6.6,1.8,0.059,93,reviewed,us,us
2022-03-07T13:35:28.970Z,19.1545,-155.4756667,31.97,2.53,ml,53,141,,0.11,hv,hv72941427,2022-03-08T16:05:15.040Z,"Island of Hawaii, Hawaii",earthquake,0.5,0.63,0.197246294,20,reviewed,hv,hv
2022-03-07T12:38:43.087Z,31.94641113,-102.3368426,7.189697266,2.9,ml,23,47,0.013681166,0.2,tx,tx2022epss,2022-03-08T23:02:59.029Z,"9 km SSE of Gardendale, Texas",earthquake,0.941763509,0.68795352,0.1,11,reviewed,tx,tx
2022-03-07T12:31:23.430Z,17.9015,-66.85783333,11.67,2.74,md,5,235,,0.25,pr,pr71339368,2022-03-07T13:15:44.680Z,"9 km SSE of Maria Antonia, Puerto Rico",earthquake,1.94,1.14,0.085733087,4,reviewed,pr,pr
2022-03-07T10:09:22.271Z,42.0785,144.4153,10,4.9,mb,,98,0.939,0.86,us,us6000h2qh,2022-03-07T10:56:39.040Z,"Hokkaido, Japan region",earthquake,6.9,1.8,0.029,375,reviewed,us,us
2022-03-07T08:07:34.580Z,19.16283333,-155.4763333,32.5,3.33,ml,51,153,,0.11,hv,hv72941132,2022-03-08T08:09:31.129Z,"4 km S of P?hala, Hawaii",earthquake,0.53,0.61,0.18976133,43,reviewed,hv,hv
2022-03-07T06:54:17.140Z,17.98083333,-66.80766667,14.69,2.72,md,11,177,,0.1,pr,pr71339338,2022-03-07T08:19:06.020Z,"1 km SE of Indios, Puerto Rico",earthquake,0.4,1,0.088081177,3,reviewed,pr,pr
2022-03-07T06:37:37.564Z,-8.2488,116.5855,10,4.4,mb,,76,1.31,0.54,us,us6000h2pn,2022-03-07T07:50:30.040Z,"29 km NNW of Labuan Lombok, Indonesia",earthquake,5.4,1.9,0.123,19,reviewed,us,us
2022-03-07T06:28:12.490Z,19.18433333,-155.514,36.07,3.34,ml,45,96,,0.09,hv,hv72941037,2022-03-08T06:30:20.125Z,"4 km WSW of P?hala, Hawaii",earthquake,0.6,0.69,0.165193843,40,reviewed,hv,hv
2022-03-07T05:34:18.630Z,-20.3797,-178.4313,581.81,6.1,mww,,19,4.233,1.15,us,us6000h2nu,2022-03-08T05:38:41.306Z,Fiji region,earthquake,9.7,5.2,0.061,26,reviewed,us,us
2022-03-07T05:07:32.750Z,17.88983333,-67.508,16.3,3.17,md,8,312,,0.12,pr,pr71339323,2022-03-07T05:28:46.570Z,"35 km WSW of Pole Ojea, Puerto Rico",earthquake,1.01,0.54,0.010585497,4,reviewed,pr,pr
